To be translated	Translation
HUMAN	human
HUMAN:EN	humanen
ORC	orc
ORC:EN	orcen
ELF	night elf
ELF:EN	night elfen
UNDEAD	undead
UNDEAD:EN	undeaden
Red	röd
Red:A	röda
Blue	blå
Blue:A	blåa
Cyan	ljusblå
Cyan:A	ljusblåa
Purple	lila
Purple:A	lila
Yellow	gula
Yellow:A	gula
Orange	brandgula
Orange:A	brandgula
Green	grön
Green:A	gröna
Pink	rosa
Pink:A	rosa
Light Gray	ljusgrå
Light Gray:A	ljusgråa
Light Blue	ljusblå
Light Blue:A	ljusblåa
Aqua	vattenfärgad
Aqua:A	vattenfärgade
Brown	brun
Brown:A	bruna
