Language Name	Language Report	Hotkey	Encoding
English	Set language of AI to English.	69	iso-8859-1
Deutsch	AI Sprache ist jetzt Deutsch.	68	iso-8859-1
Swedish	AI Sprak andrat till Svenska.	83	iso-8859-1
French	Langue de l'IA est maintenant Francais.	70	iso-8859-1
Spanish	Lengua es Espanol.	80	iso-8859-1
Romanian	Seteaza Limba in Romana.	82	iso-8859-2
Russian	Language is now Russian.	85	CP-1251
Portuguese	Mudar idioma para português.	84	iso-8859-1
Norwegian	Sett språket til norsk.	78	iso-8859-1
Chinese	Language is now Chinese.	67	utf8
