To be Translated	Translation
chat_no_ally	Я тебе никогда не подчинюсь! Только через мой труп.
you_no_gold	Извините, у вас недостаточно золота.
i_no_gold	Извините, у меня недостаточно золота.
tribute_of_gold	 Золото завершено.
gold_received_thanks	 Золото получено. Спасибо твой Дар.
you_no_lumber	Извините, у вас недостаточно пиломатериалов.
i_no_lumber	Извините, у меня недостаточно пиломатериалов.
tribute_of_lumber	 Пиломатериалы завершены.
lumber_received_thanks	 Получен пиломатериал. Спасибо твой Дар.
you_mistyped_tribute	Извините, вы неправильно указали количество Tribute.
specified_player_not_valid	Вы не указали действительного игрока.
command_not_valid	Я не знаю этой команды.
all_not_allowed	ОШИБКА, здесь нельзя все.
player_id_mistyped	ОШИБКА, вы ошиблись при вводе идентификатора игрока.
color_word_mistyped	ОШИБКА, вы неправильно набрали цвет игрока или командное слово.
not_specified_computer	Вы не указали компьютер.
dlgbutton_next_page	следущая страница
dlgbutton_previous_page	Предыдущая страница
dlghdr_choose_ally	Выбрать союзника
dlghdr_choose_number	Выбрать номер
dlghdr_choose_player	Выбрать игрока
dlghdr_game_type	Выбрать тип игры
dlghdr_root	Выбрать команду
dlghdr_tribute_type	Выбрать тип
dlghdr_tribute_amount	Выбрать кол-во
dlgbutton_cancel	Отмена
dlgbutton_all	Все
dlgbutton_gold	Золото
dlgbutton_lumber	Древесина
dlgbutton_give_gold	Дать золота
dlgbutton_give_lumber	Дать древисины
dlgbutton_tribute	Обмен ресурса
dlgbutton_commander	Командир
dlgbutton_no_human	Только AI
dlgbutton_ai_only	Без командира
dlgbutton_shared	Совместное управление
