To be translated	Translation
AI Setting	Setari AI
Chatter	Vorbire
Turned On/Off Computer Chatter.	Schimba On/Off vorbirea computerului.
Turned On/Off Debug Mode.	Schimba On/Off Debug Mode.
Turned On/Off Balancing Mode.	Schimba On/Off Mod de echilibrare.
Show	Arata
Current Strategy	Strategia Curenta
Showing current strategy.	Arata strategia curenta.
Strategy names	Nume de strategii
Change Strategy	Schimba Strategia
Changes current strategy.	Schimba strategia curenta.
Cancel Orders	Anuleaza Comenzile
All Orders	Toate Comenzile
I have Canceled All commands you have given me so far.	Am anulat toate comenzile date pina acum.
Attack Orders	Comenzile de Atac
I have Canceled all Attack commands you have given me so far.	Am anulat toate comenzile de atac date pina acum.
Build Orders	Comenzile de constructii
I have Canceled all Build commands you have given me so far.	Am anulat toate comenzile de construit date pina acum.
Queue	Sirul
I have Canceled all Queued commands you have given me so far.	Am anulat tot sirul de comenzi date pina acum.
I will Stop any current Attack.	Anulez orice atac pe care il fac.
I will not Attack Anything.	Nu voi ataca nimic.
I will not Attack Creeps.	Nu voi ataca neutrii.
I will not Attack Enemies.	Nu voi ataca pe inamici.
I will build Air2Air units now.	Voi face unitati Aer-Aer acum.
I will build Air2Ground units now.	Voi face unitati Aer-Sol acum.
I will build Ground2Air units now.	Voi face unitati Sol-Aer acum.
I will build Ground2Ground units now.	Voi face unitati Sol-Sol acum.
I will build farms now.	Voi face ferme acum.
I will build towers now.	Voi construii turnuri acum
I will Attack/Guard the location of current screen position.	Voi Ataca/Apara locul determinat de pozitia ecranului.
I will Attack/Guard the currently selected unit.	Voi Ataca/Apara unitatea selectata de tine.
I will Attack/Guard the specified player.	Voi Ataca/Apara jucatorul specificat.
I have Started or Restarted your Queued commands.	Am Inceput sau am Reinceput sirul tau de comenzi.
I have Paused your Queued commands.	Am pus pauza sirului de comenzi.
I have Unpaused your Queued commands.	Am pornit sirul de comenzi.
I have Removed your last Queued command.	Am scos ultima comanda din sir
I have Queued the Attack/Guard location of current screen position.	Am adaugat in sir comanda sa Atac/Apar locul determinat de ecran.
I have Queued the currently selected unit to Attack/Guard.	Am adaugat in sir comanda sa Atac/Apar unitatea selectata.
Turned On/Off Automatic Strategy Change.	Schimba On/Off schimbarea de strategie automata.
Restrict	Restrictioneaza
No Attacks	Fara atacuri
No Creep Attacks	Fara atacuri asupra neutrilor
No Enemy Attacks	Fara atacuri asupra inamicilor
Farms	Ferme
Towers	Turnuri
Current screen	Ecranul Actual
Selected unit	Unitatea Selectata
Towerrush (Orc only)	Towerrush (numai Orc)
Start/Restart	Incepe/Reincepe
No Strategy Change	Fara schimbare de strategie
Build	Produ
Attack Here	Ataca Aici
Unpause	Start
Undo	Undo
attack select	Ataca Unitate
Air vs. Air	Aer vs. Aer
Air vs. Ground	Aer vs. Sol
Ground vs. Air	Sol vs. Aer
Ground vs. Ground	Sol vs. Sol
