To be Translated	Translation
chat_no_ally	Nunca vou te obedecer.
you_no_gold	Desculpe, voce nao tem ouro suficiente.
i_no_gold	Desculpe, nao tenho ouro suficiente.
tribute_of_gold	 Ouro e Tributo completo.
gold_received_thanks	 Ouro foi recebido. Obrigado seu presente.
you_no_lumber	Desculpe, voce nao tem madeira suficiente.
i_no_lumber	Desculpe, nao tenho madeira suficiente.
tribute_of_lumber	 Madeira serrada e Tributo completo.
lumber_received_thanks	 madeira foi recebida. Obrigado seu presente.
you_mistyped_tribute	Desculpe, voce digitou incorretamente a quantidade de Tributos.
specified_player_not_valid	Voce nao especificou um jogador valido.
command_not_valid	Nao conheco esse comando.
all_not_allowed	ERRO, Tudo nao e permitido aqui.
player_id_mistyped	ERRO, voce digitou incorretamente o ID do jogador.
color_word_mistyped	ERRO, voce digitou incorretamente a palavra Cor ou Comando do jogador.
not_specified_computer	Voce nao especificou um computador.
dlgbutton_next_page	proxima pagina
dlgbutton_previous_page	pagina anterior
dlghdr_choose_ally	Aliado Escolhido
dlghdr_choose_number	Escolha Número
dlghdr_choose_player	Escolha Jogador
dlghdr_game_type	Escolha Tipo de Jogo
dlghdr_root	Escolha Comando
dlghdr_tribute_type	Escolha Tipo de Tributo
dlghdr_tribute_amount	Escolha Quantidade
dlgbutton_cancel	Cancelar
dlgbutton_all	Todos
dlgbutton_gold	Ouro
dlgbutton_lumber	Madeira
dlgbutton_give_gold	Dar Ouro
dlgbutton_give_lumber	Dar Madeira
dlgbutton_tribute	Tribute
dlgbutton_commander	Comandante
dlgbutton_no_human	Computador Apenas
dlgbutton_ai_only	Sem Comandante
