chat_no_unit_selected	你尚未选择单位
chat_confirm_attack_unit	我将攻击/防守选定单位
chat_towerrush	我将尝试TR
chat_no_towerrush	我不会这种战术
chat_stop_towerrush	我已终止TR
chat_unsuited_towerrush	现在不适合TR
militia_expansion_chat	我打算在这开矿
invalid_strategy_number	此战术为空，请重选
chat_dynamic_counter	反制敌人
Strategy_Char_air	飞行单位
Strategy_Char_casters	地面单位
Strategy_Char_towers	防御塔
Strategy_Char_piercing	穿刺攻击单位
Strategy_Char_normal	普通攻击单位
Strategy_Char_siege	攻城攻击单位
Strategy_Char_magic	魔法攻击单位
Strategy_Char_unarmored	无装甲单位
Strategy_Char_lightarmor	轻甲单位
Strategy_Char_mediumarmor	中甲单位
Strategy_Char_heavyarmor	重甲单位
