To be translated	Translation
HUMAN	альянс
HUMAN:S	люди
HUMAN:OFF	людей
HUMAN:AYA	хуманская
ORC	орда
ORC:S	орки
ORC:OFF	орков
ORC:AYA	орочья
UNDEAD	нежить
UNDEAD:S	мертвецы
UNDEAD:OFF	мертвецов
UNDEAD:AYA	андедовская
ELF	эльф
ELF:I	ночные эльфы
ELF:S	эльфы
ELF:OFF	эльфов
ELF:AYA	эльфийская
Red	красный
Red:A	красного
Red:E	красные
Red:X	красных
Blue	синий
Blue:A	синего
Blue:E	синие
Blue:X	синих
Cyan	сине-зеленый
Cyan:A	сине-зеленого
Cyan:E	сине-зеленые
Cyan:X	сине-зеленых
Purple	фиолетовый
Purple:A	фиолетового
Purple:E	фиолетовые
Purple:X	фиолетовых
Yellow	желтый
Yellow:A	желтого
Yellow:E	желтые
Yellow:X	желтых
Orange	оранжевый
Orange:A	оранжевого
Orange:E	оранжевые
Orange:X	оранжевых
Green	зеленый
Green:A	зеленого
Green:E	зеленые
Green:X	зеленых
Pink	розовый
Pink:A	розового
Pink:E	розовые
Pink:X	розовых
Light Gray	серый
Light Gray:A	серого
Light Gray:E	серые
Light Gray:X	серых
Light Blue	светло-синий
Light Blue:A	светло-синего
Light Blue:E	светло-синие
Light Blue:X	светло-синих
Aqua	темно-зеленый
Aqua:A	темно-зеленого
Aqua:E	темно-зеленые
Aqua:X	темно-зеленых
Brown	коричневый
Brown:A	коричневого
Brown:E	коричневые
Brown:X	коричневых
