To be Translated	Translation
chat_no_ally	我们不是盟友。
you_no_gold	翻车了，你没这么多黄金。
i_no_gold	别闹，我没这么多黄金。
tribute_of_gold	黄金已提供。
gold_received_thanks	黄金已经收到。谢谢老板。
you_no_lumber	翻车了，你没这么多木材。
i_no_lumber	别闹，我没这么多木材。
tribute_of_lumber	木材已提供。
lumber_received_thanks	木材已经收到。谢谢老板。
you_mistyped_tribute	抱歉，你输入的数量有误。
specified_player_not_valid	指定的玩家无效。
command_not_valid	我无法识别该指令。
all_not_allowed	错误，不允许全选。
player_id_mistyped	错误，玩家ID错误。
color_word_mistyped	错误，玩家颜色或指令错误。
not_specified_computer	未指定玩家。
dlgbutton_next_page	下一页
dlgbutton_previous_page	上一页
dlghdr_choose_ally	选择盟友
dlghdr_choose_number	请选择
dlghdr_choose_player	选择玩家
dlghdr_game_type	选择游戏模式
dlghdr_root	选择指令
dlghdr_tribute_type	选择资源类型
dlghdr_tribute_amount	选择资源数量
dlgbutton_cancel	取消
dlgbutton_all	选择全部AI盟友
dlgbutton_gold	选取的AI给我黄金
dlgbutton_lumber	选取的AI给我木材
dlgbutton_give_gold	给选取的AI黄金
dlgbutton_give_lumber	给选取的AI木材
dlgbutton_tribute	与AI盟友交换资源
dlgbutton_commander_language	更换控制台语言
dlgbutton_player_ally	盟友
dglchoose_language	选择语言
dlgbutton_commander	指挥模式（按ESC指挥AI盟友）
dlgbutton_no_human	点控模式（真人自爆后指挥）
dlgbutton_ai_only	智能模式（不能指挥）
dlgbutton_shared	联控模式（真人自爆后指挥及共享）
